_id_x,trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled,timepoint,_id_y,route_id,service_id,trip_headsign,direction_id,block_id,shape_id,_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
4449,4461776-2024-JUN-FINAL-Weekday-01,10:36:00,10:41:00,3419,12,0,0,2.386,1,110,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN,1,577954,50148,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
4481,4461777-2024-JUN-FINAL-Weekday-01,10:51:00,10:56:00,3419,12,0,0,2.386,1,111,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN,1,577972,50148,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
4513,4461778-2024-JUN-FINAL-Weekday-01,11:06:00,11:11:00,3419,12,0,0,2.386,1,112,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN,1,577988,50148,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
4545,4461779-2024-JUN-FINAL-Weekday-01,11:21:00,11:26:00,3419,12,0,0,2.386,1,113,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN,1,577931,50148,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
4577,4461780-2024-JUN-FINAL-Weekday-01,11:36:00,11:41:00,3419,12,0,0,2.386,1,114,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN,1,577948,50148,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
4609,4461781-2024-JUN-FINAL-Weekday-01,11:51:00,11:56:00,3419,12,0,0,2.386,1,115,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN,1,577936,50148,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
4641,4461782-2024-JUN-FINAL-Weekday-01,12:06:00,12:11:00,3419,12,0,0,2.386,1,116,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN,1,577954,50148,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
4673,4461783-2024-JUN-FINAL-Weekday-01,12:21:00,12:26:00,3419,12,0,0,2.386,1,117,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN,1,577972,50148,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
4705,4461784-2024-JUN-FINAL-Weekday-01,12:36:00,12:41:00,3419,12,0,0,2.386,1,118,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN,1,577988,50148,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
4737,4461785-2024-JUN-FINAL-Weekday-01,12:51:00,12:56:00,3419,12,0,0,2.386,1,119,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN,1,577931,50148,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
4769,4461786-2024-JUN-FINAL-Weekday-01,13:06:00,13:11:00,3419,12,0,0,2.386,1,120,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN,1,577948,50148,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
4801,4461787-2024-JUN-FINAL-Weekday-01,13:21:00,13:26:00,3419,12,0,0,2.386,1,121,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN,1,577936,50148,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
