_id,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
87,1247,1247,Huguenot & Monteith,,  37.533585, -77.589756,,,0,
88,1248,1248,Huguenot & Scarborough,,  37.532450, -77.581476,,,0,
89,1249,1249,Huguenot & Shoreham,,  37.533068, -77.585793,,,0,
90,125,125,35th & Canepa,,  37.533125, -77.399413,,,0,
91,1250,1250,Huguenot & Westgate,,  37.533348, -77.574119,,,0,
92,1251,1251,Hull & Spaine,,  37.503587, -77.471623,,,0,
93,1259,1259,Hull & 11th,,  37.521315, -77.443299,,,0,
94,1260,1260,Hull & 11th,,  37.521624, -77.443246,,,0,
95,1261,1261,Hull & 12th,,  37.520821, -77.444106,,,0,
96,1262,1262,Hull & 12th,,  37.521113, -77.444045,,,0,
97,1263,1263,Hull & 14th,,  37.519773, -77.445752,,,0,
98,1264,1264,Hull & 14th,,  37.520054, -77.445704,,,0,
99,1266,1266,Hull & 17th,,  37.518405, -77.448403,,,0,
100,1267,1267,Hull & 17th,,  37.518305, -77.448034,,,0,
101,1270,1270,Hull & 20th,,  37.516267, -77.451337,,,0,
102,1272,1272,Hull & 21st,,  37.516280, -77.451748,,,0,
103,1273,1273,Hull & 24th,,  37.514586, -77.454377,,,0,
104,1274,1274,Hull & 25th,,  37.514091, -77.454739,,,0,
105,1275,1275,Hull & 28th,,  37.512007, -77.458022,,,0,
106,1276,1276,Hull & 28th,,  37.512003, -77.458466,,,0,
107,1279,1279,Hull & 33rd,,  37.506786, -77.466510,,,0,
108,1280,1280,Hull & 35th,,  37.506017, -77.467763,,,0,
109,1281,1281,Hull & 37th,,  37.504917, -77.469430,,,0,
110,1282,1282,Hull & 3rd,,  37.525321, -77.437013,,,0,
111,1283,1283,Hull & 5th,,  37.524318, -77.438585,,,0,
112,1284,1284,Hull & 5th,,  37.524665, -77.438484,,,0,
113,1285,1285,Hull Street & 7th,,  37.523346, -77.440147,,,0,
114,1286,1286,Hull & 7th,,  37.523638, -77.440077,,,0,
115,1287,1287,Hull & 9th,,  37.522545, -77.441396,,,0,
116,1288,1288,Hull & 9th,,  37.522625, -77.441679,,,0,
117,1290,1290,Hull & Berrywood,,  37.484700, -77.499915,,,0,
118,1292,1292,Hull & Blake,,  37.507942, -77.464856,,,0,
119,1293,1293,Hull & 3rd,,  37.525547, -77.437132,,,0,
120,1294,1294,Hull & Chesterfield,,  37.487769, -77.494866,,,0,
121,1295,1295,Hull & Evans,,  37.513106, -77.456727,,,0,
122,1296,1296,Hull & Cowardin,,  37.517807, -77.448850,,,0,
123,1297,1297,Hull & Cowardin,,  37.518001, -77.449029,,,0,
124,1299,1299,Hull & Derwent,,  37.482573, -77.503951,,,0,
125,1301,1301,Hull & Dixon,,  37.497449, -77.481154,,,0,
126,1302,1302,Hull & Elkhart School,,  37.480511, -77.508645,,,0,
127,1303,1303,Hull & Elkhart School,,  37.480886, -77.508168,,,0,
128,1304,1304,Hull & Evans,,  37.512976, -77.456436,,,0,
129,1306,1306,Hull & Hey,,  37.482057, -77.504420,,,0,
130,1307,1307,Hull & Orcutt,,  37.483075, -77.502608,,,0,
131,1308,1308,Hull & Orcutt,,  37.483595, -77.502142,,,0,
132,1310,1310,Hull & Pinebrook Apts,,  37.490016, -77.492408,,,0,
133,1311,1311,Hull & Pinebrook Apts,,  37.490207, -77.492466,,,0,
134,1312,1312,Hull & Playn,,  37.509503, -77.461901,,,0,
135,1313,1313,Hull & Roberson,,  37.484269, -77.500993,,,0,
136,1314,1314,Hull & Silverwood,,  37.485858, -77.497847,,,0,
137,1315,1315,Hull & Silverwood,,  37.486365, -77.497370,,,0,
138,1316,1316,Hull & Swansboro,,  37.509120, -77.462835,,,0,
